#epoch, step, actionA, actionB, reward_n, game_dif_score, playerA_score, playerB_score, epsilon
452,809058,0,18,0,0,4,4,0.637531749967
453,810844,14,23,0,2,8,6,0.636728049967
454,812630,0,18,0,3,16,13,0.635924349967
455,814416,0,18,0,-3,4,7,0.635120649967
456,816202,12,24,0,-5,3,8,0.634316949967
457,817988,0,18,0,-3,4,7,0.633513249967
458,819774,9,33,0,-9,8,17,0.632709549967
459,821560,13,18,0,1,14,13,0.631905849967
460,823346,4,18,0,4,7,3,0.631102149967
461,825132,9,18,0,-3,8,11,0.630298449967
462,826918,3,18,0,3,9,6,0.629494749966
463,828704,0,18,0,0,3,3,0.628691049966
464,830490,16,24,0,1,8,7,0.627887349966
465,832276,0,28,0,0,7,7,0.627083649966
466,834062,3,22,0,3,3,0,0.626279949966
467,835848,3,28,0,3,9,6,0.625476249966
468,837634,0,18,0,-5,11,16,0.624672549966
469,839420,16,18,0,7,9,2,0.623868849966
470,841206,7,18,0,11,17,6,0.623065149966
471,842992,13,31,0,-1,17,18,0.622261449966
472,844778,17,21,0,3,9,6,0.621457749966
473,846564,4,30,0,4,13,9,0.620654049966
474,848350,0,18,0,4,16,12,0.619850349966
475,850136,7,35,0,-3,1,4,0.619046649966
476,851922,11,18,0,17,34,17,0.618242949965
477,853708,0,18,0,7,9,2,0.617439249965
478,855494,15,18,0,6,11,5,0.616635549965
479,857280,0,18,0,14,16,2,0.615831849965
480,859066,0,18,0,3,5,2,0.615028149965
481,860852,0,29,0,4,10,6,0.614224449965
482,862638,13,18,0,-4,5,9,0.613420749965
483,864424,0,18,0,10,26,16,0.612617049965
484,866210,0,18,0,1,7,6,0.611813349965
485,867996,0,18,0,0,3,3,0.611009649965
486,869782,4,26,0,25,30,5,0.610205949965
487,871568,0,18,0,-4,7,11,0.609402249965
488,873354,5,18,0,9,19,10,0.608598549965
489,875140,15,18,0,0,12,12,0.607794849965
490,876926,17,22,0,4,9,5,0.606991149964
491,878712,0,18,0,-2,3,5,0.606187449964
492,880498,10,18,0,7,10,3,0.605383749964
493,882284,7,18,0,15,24,9,0.604580049964
494,884070,5,18,0,5,10,5,0.603776349964
495,885856,0,18,0,3,7,4,0.602972649964
496,887642,14,18,0,5,11,6,0.602168949964
497,889428,0,18,0,-7,11,18,0.601365249964
498,891214,10,18,0,2,7,5,0.600561549964
499,893000,0,24,0,5,9,4,0.599757849964
500,894786,5,18,0,12,16,4,0.598954149964
501,896572,14,18,0,-9,3,12,0.598150449964
502,898358,14,18,0,11,12,1,0.597346749964
503,900144,14,18,0,-5,1,6,0.596543049964
504,901930,4,18,0,-1,5,6,0.595739349963
505,903716,5,18,0,3,11,8,0.594935649963
506,905502,15,18,0,-2,0,2,0.594131949963
507,907288,7,28,0,2,10,8,0.593328249963
508,909074,2,18,0,-5,1,6,0.592524549963
509,910860,10,18,0,4,12,8,0.591720849963
510,912646,4,18,0,8,13,5,0.590917149963
511,914432,0,33,0,5,19,14,0.590113449963
512,916218,0,18,0,17,24,7,0.589309749963
513,918004,15,18,0,-3,2,5,0.588506049963
514,919790,0,18,0,11,17,6,0.587702349963
515,921576,8,20,0,-6,9,15,0.586898649963
516,923362,0,32,0,3,11,8,0.586094949963
517,925148,11,18,0,-3,5,8,0.585291249962
518,926934,0,31,0,6,10,4,0.584487549962
519,928720,0,18,0,2,4,2,0.583683849962
520,930506,1,18,0,8,11,3,0.582880149962
521,932292,6,18,0,15,19,4,0.582076449962
522,934078,1,18,0,16,18,2,0.581272749962
523,935864,0,35,0,4,6,2,0.580469049962
524,937650,6,25,0,7,8,1,0.579665349962
525,939436,0,18,0,-2,5,7,0.578861649962
526,941222,0,18,0,-3,0,3,0.578057949962
527,943008,14,23,0,4,10,6,0.577254249962
528,944794,10,30,0,1,8,7,0.576450549962
529,946580,0,18,0,3,5,2,0.575646849962
530,948366,15,18,0,3,13,10,0.574843149962
531,950152,10,18,0,-4,1,5,0.574039449961
532,951938,16,33,0,4,5,1,0.573235749961
533,953724,0,25,0,4,9,5,0.572432049961
534,955510,0,18,0,6,7,1,0.571628349961
535,957296,0,18,0,3,5,2,0.570824649961
536,959082,2,18,0,21,26,5,0.570020949961
537,960868,0,21,0,4,4,0,0.569217249961
538,962654,13,22,0,9,15,6,0.568413549961
539,964440,8,18,0,-3,1,4,0.567609849961
540,966226,4,18,0,3,9,6,0.566806149961
541,968012,15,18,0,0,11,11,0.566002449961
542,969798,17,18,0,0,3,3,0.565198749961
543,971584,16,18,0,3,5,2,0.564395049961
544,973370,5,18,0,4,9,5,0.563591349961
545,975156,2,18,0,2,8,6,0.56278764996
546,976942,0,35,0,3,6,3,0.56198394996
547,978728,0,18,0,2,6,4,0.56118024996
548,980514,17,18,0,18,21,3,0.56037654996
549,982300,0,33,0,10,18,8,0.55957284996
550,984086,0,18,0,2,15,13,0.55876914996
551,985872,12,18,0,3,10,7,0.55796544996
552,987658,15,18,0,6,6,0,0.55716174996
553,989444,0,24,1,2,8,6,0.55635804996
554,991230,0,18,0,4,11,7,0.55555434996
555,993016,0,18,0,4,4,0,0.55475064996
556,994802,1,18,0,9,14,5,0.55394694996
557,996588,3,29,0,-4,4,8,0.55314324996
558,998374,0,18,0,8,9,1,0.55233954996
559,1000160,5,18,0,8,13,5,0.551535849959
560,1001946,8,20,0,5,9,4,0.550732149959
561,1003732,0,31,0,4,4,0,0.549928449959
562,1005518,2,18,0,-1,1,2,0.549124749959
563,1007304,0,18,0,3,7,4,0.548321049959
564,1009090,0,18,0,6,7,1,0.547517349959
